ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CARB-5	3002244	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	2.00	0.00	2.00	21.29	191.00	1.00	0	0	0	0	N/A	N/A		897	CARB beta-lactamase	penam	antibiotic inactivation
OXA-212	3001711	protein homolog model	CARD; Resistomes & Variants	2	95.62 - 100.0	no data	no data	Acinetobacter johnsonii; Acinetobacter nosocomialis	76.00	14.00	90.00	80.42	663.50	5.68	0	0	0	0	N/A	N/A		825; 825	OXA beta-lactamase	cephalosporin; penam	antibiotic inactivation
CTX-M-121	3001980	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	1.00	2.00	9.93	87.00	0.00	0	0	0	0	N/A	N/A		876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
VEB-3	3002372	protein homolog model	CARD; Resistomes & Variants	2	100.0	no data	YES	Enterobacter cloacae; Citrobacter freundii; Klebsiella pneumoniae	13.00	3.00	16.00	45.72	411.50	0.85	0	0	0	0	N/A	N/A		900; 900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
CTX-M-155	3003163	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	30.59	268.00	1.00	0	0	0	0	N/A	N/A		876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
DHA-15	3002146	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	4.00	0.00	4.00	52.72	601.00	1.00	0	0	0	0	N/A	N/A		1140	DHA beta-lactamase	cephalosporin; cephamycin	antibiotic inactivation
msrE	3003109	protein homolog model	CARD; Resistomes & Variants	17	99.8 - 100.0	YES	YES	Escherichia coli; Acinetobacter baumannii; Acinetobacter nosocomialis; Citrobacter freundii; Enterobacter cloacae; Enterobacter hormaechei; Enterobacter kobei; Klebsiella oxytoca; Klebsiella pneumoniae; Morganella morganii; Proteus mirabilis; Proteus vulgaris; Providencia rettgeri; Providencia stuartii; Pseudomonas aeruginosa; Pseudomonas stutzeri; Raoultella planticola; Salmonella enterica; Serratia marcescens; Vibrio parahaemolyticus	331.00	13.00	344.00	77.68	1146.53	0.93	0	0	0	0	N/A	N/A	mphE (11)	1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
QnrB58	3002771	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	3.00	1.00	4.00	10.43	71.00	0.00	0	0	0	0	N/A	N/A		681	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
CMY-114	3002125	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	2.00	0.00	2.00	24.87	285.00	1.00	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
MOX-5	3002188	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	4.00	0.00	4.00	29.69	342.00	6.50	0	0	0	0	N/A	N/A		1152	MOX beta-lactamase	cephalosporin; cephamycin; penam	antibiotic inactivation
TEM-34	3000904	protein homolog model	CARD; Resistomes & Variants	2	100.0	no data	no data	Haemophilus parainfluenzae; Klebsiella pneumoniae	5.00	1.00	6.00	30.48	262.50	0.88	0	0	0	0	N/A	N/A		861; 861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
QnrS6	3002795	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	4.00	0.00	4.00	65.60	431.00	1.00	0	0	0	0	N/A	N/A		657	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
OXA-330	3001518	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	1.00	1.00	2.00	9.25	76.00	0.00	0	0	0	0	N/A	N/A		822	OXA beta-lactamase	cephalosporin; penam	antibiotic inactivation
CMY-42	3002053	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	5.00	1.00	6.00	47.99	550.00	0.83	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephalosporin; cephamycin	antibiotic inactivation
CMY-70	3002083	protein homolog model	CARD; Resistomes & Variants	3	99.48 - 100.0	no data	no data	Citrobacter braakii; Citrobacter freundii	4.00	2.00	6.00	15.16	173.67	0.67	0	0	0	0	N/A	N/A		1146; 1146; 1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
TEM-132	3000996	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	29.50	254.00	1.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
QnrB66	3002778	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	2.00	0.00	2.00	40.00	258.00	1.00	0	0	0	0	N/A	N/A		645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
TEM-47	3000916	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	1.00	2.00	17.54	151.00	0.50	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
CMY-55	3002066	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	23.56	270.00	1.00	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
CTX-M-42	3001904	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	30.82	270.00	1.00	0	0	0	0	N/A	N/A		876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CMY-79	3002092	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	1.00	1.00	2.00	11.43	131.00	0.50	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
CMY-48	3002059	protein homolog model	CARD; Resistomes & Variants	8	98.43 - 100.0	YES	no data	Citrobacter freundii	26.00	2.00	28.00	29.31	335.88	0.88	0	0	0	0	N/A	N/A		1146; 1146; 1146; 1146; 1146; 1146; 1146; 1146	CMY beta-lactamase	cephamycin	antibiotic inactivation
QnrB38	3002753	protein homolog model	CARD; Resistomes & Variants	3	100.0	YES	no data	Citrobacter freundii; Escherichia coli	13.00	3.00	16.00	65.95	425.33	0.71	0	0	0	0	N/A	N/A		645; 645; 645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
VEB-5	3002375	protein homolog model	CARD; Resistomes & Variants	3	98.66 - 100.0	no data	YES	Escherichia coli; Klebsiella pneumoniae; Salmonella enterica	23.00	5.00	28.00	52.15	469.33	2.23	0	0	0	0	N/A	N/A		900; 900; 900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
srmB	3002828	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	1.00	1.00	2.00	2.24	37.00	11.00	0	0	0	0	N/A	N/A		1653	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic	antibiotic target protection
TEM-198	3001057	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	10.00	2.00	12.00	64.81	558.00	0.75	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
cphA7	3003103	protein homolog model	CARD; Resistomes & Variants	2	94.49 - 100.0	no data	no data	Aeromonas hydrophila; Escherichia coli	16.00	0.00	16.00	59.80	457.50	13.57	0	0	0	0	N/A	N/A		765; 765	CphA beta-lactamase	carbapenem	antibiotic inactivation
