ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
abeM	3000753	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	40.00	24.00	64.00	32.74	441.00	13.75	0	0	0	0	N/A	N/A		1347	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic; acridine dye; triclosan	antibiotic efflux
aadA17	3002617	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas media	4.00	0.00	4.00	39.90	316.00	1.00	0	0	0	0	N/A	N/A	OXA-47 (1); tet(C) (1)	792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
Burkholderia pseudomallei Omp38	3004123	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia pseudomallei	2.00	2.00	4.00	4.01	45.00	11.00	0	0	0	0	N/A	N/A		1122	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem; cephalosporin; penem; monobactam; cephamycin; penam	reduced permeability to antibiotic
OXA-118	3001768	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia cepacia	12.00	5.00	17.00	70.29	563.00	2.47	0	0	0	0	N/A	N/A	EreA2 (1); aadA13 (1)	801	OXA beta-lactamase	penam; cephalosporin	antibiotic inactivation
tet32	3000196	protein homolog model	CARD	1	100.0	no data	no data	Clostridiaceae bacterium	25.00	5.00	30.00	77.92	1496.00	17.97	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
acrS	3000656	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	42.68	283.00	44.00	0	0	0	0	N/A	N/A		663	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; triclosan; phenicol antibiotic; tetracycline antibiotic; rifamycin antibiotic; glycylcycline; penam	antibiotic efflux
OXY-4-1	3002410	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	2.00	0.00	2.00	28.64	250.00	31.00	0	0	0	0	N/A	N/A		873	OXY beta-lactamase	monobactam; penam; cephalosporin	antibiotic inactivation
emrB	3000074	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	8.00	2.00	10.00	45.74	704.00	22.20	0	0	0	0	N/A	N/A		1539	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
aadA13	3002613	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	0.00	1.00	6.77	54.00	22.00	0	0	0	0	N/A	N/A	OXA-118 (1)	798	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CEPH-A3	3003093	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas veronii	4.00	0.00	4.00	38.69	296.00	11.00	0	0	0	0	N/A	N/A		765	CphA beta-lactamase	carbapenem	antibiotic inactivation
